country,both60,male60,female60,both_atbirth,male_atbirth,female_atbirth
Timor-Leste,69.62,67.93,71.41,17.9,16.92,18.87
Togo,64.27,61.52,67.23,17.03,15.44,18.65
Tonga,72.57,69.81,75.61,19.03,17.04,21.16
Tunisia,77.04,74.88,79.19,21.54,20.16,22.82
Turkey,78.62,76.44,80.67,22.03,20.61,23.24
Turkmenistan,69.75,66.48,72.97,18.74,17.07,20.11
Uganda,66.69,63.24,70.1,17.7,15.67,19.38
Ukraine,73.02,67.0,77.81,19.49,16.43,21.73
United Arab Emirates,76.08,75.1,78.42,19.92,19.18,21.69
Uruguay,77.1,73.48,80.56,21.67,18.98,23.96
Uzbekistan,73.01,70.76,75.21,18.64,17.33,19.81
Vanuatu,65.31,62.66,68.32,15.68,14.83,16.67
Yemen,66.63,64.41,68.92,17.77,16.77,18.71
Zambia,62.45,59.54,65.37,16.53,14.68,18.05
Zimbabwe,60.68,57.51,63.61,15.55,13.59,16.99
