country,date,confirmed
Afghanistan,February 4 2021,55231
Afghanistan,February 5 2021,55265
Afghanistan,February 6 2021,55330
Afghanistan,February 7 2021,55335
Afghanistan,February 8 2021,55359
Afghanistan,February 9 2021,55384
Afghanistan,February 10 2021,55402
Afghanistan,February 11 2021,55420
Afghanistan,February 12 2021,55445
Afghanistan,February 13 2021,55473
Afghanistan,February 14 2021,55492
Afghanistan,February 15 2021,55514
Afghanistan,February 16 2021,55518
Afghanistan,February 17 2021,55540
Afghanistan,February 18 2021,55557
Afghanistan,February 19 2021,55575
Afghanistan,February 20 2021,55580
Afghanistan,February 21 2021,55604
Afghanistan,February 22 2021,55617
Afghanistan,February 23 2021,55646
Afghanistan,February 24 2021,55664
Afghanistan,February 25 2021,55680
Afghanistan,February 26 2021,55696
Afghanistan,February 27 2021,55707
Afghanistan,February 28 2021,55714
Afghanistan,March 1 2021,55733
Afghanistan,March 2 2021,55759
Afghanistan,March 3 2021,55770
Afghanistan,March 4 2021,55775
Afghanistan,March 5 2021,55827
Afghanistan,March 6 2021,55840
Afghanistan,March 7 2021,55847
Afghanistan,March 8 2021,55876
Afghanistan,March 9 2021,55876
Afghanistan,March 10 2021,55894
Afghanistan,March 11 2021,55917
Afghanistan,March 12 2021,55959
Afghanistan,March 13 2021,55959
Afghanistan,March 14 2021,55985
Afghanistan,March 15 2021,55985
Afghanistan,March 16 2021,55995
Afghanistan,March 17 2021,56016
Afghanistan,March 18 2021,56044
Afghanistan,March 19 2021,56069
Afghanistan,March 20 2021,56093
Afghanistan,March 21 2021,56103
Afghanistan,March 22 2021,56153
Afghanistan,March 23 2021,56177
Afghanistan,March 24 2021,56192
Afghanistan,March 25 2021,56226
Afghanistan,March 26 2021,56254
Afghanistan,March 27 2021,56290
Afghanistan,March 28 2021,56294
Afghanistan,March 29 2021,56322
Afghanistan,March 30 2021,56384
Afghanistan,March 31 2021,56454
Afghanistan,April 1 2021,56517
Afghanistan,April 2 2021,56572
Afghanistan,April 3 2021,56595
Afghanistan,April 4 2021,56676
Afghanistan,April 5 2021,56717
Afghanistan,April 6 2021,56779
Afghanistan,April 7 2021,56873
Afghanistan,April 8 2021,56943
Afghanistan,April 9 2021,57019
Afghanistan,April 10 2021,57144
Afghanistan,April 11 2021,57160
Afghanistan,April 12 2021,57242
Albania,January 22 2020,0
Albania,January 23 2020,0
Albania,January 24 2020,0
Albania,January 25 2020,0
Albania,January 26 2020,0
Albania,January 27 2020,0
Albania,January 28 2020,0
Albania,January 29 2020,0
Albania,January 30 2020,0
Albania,January 31 2020,0
Albania,February 1 2020,0
Albania,February 2 2020,0
Albania,February 3 2020,0
Albania,February 4 2020,0
Albania,February 5 2020,0
Albania,February 6 2020,0
Albania,February 7 2020,0
Albania,February 8 2020,0
Albania,February 9 2020,0
Albania,February 10 2020,0
Albania,February 11 2020,0
Albania,February 12 2020,0
Albania,February 13 2020,0
Albania,February 14 2020,0
Albania,February 15 2020,0
Albania,February 16 2020,0
Albania,February 17 2020,0
Albania,February 18 2020,0
Albania,February 19 2020,0
Albania,February 20 2020,0
Albania,February 21 2020,0
Albania,February 22 2020,0
Albania,February 23 2020,0
Albania,February 24 2020,0
Albania,February 25 2020,0
Albania,February 26 2020,0
Albania,February 27 2020,0
Albania,February 28 2020,0
Albania,February 29 2020,0
Albania,March 1 2020,0
Albania,March 2 2020,0
Albania,March 3 2020,0
Albania,March 4 2020,0
Albania,March 5 2020,0
Albania,March 6 2020,0
Albania,March 7 2020,0
